,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1202,WEST UTTAR PRADESH,1976.0,1.5,11.9,2.9,2.3,11.0,69.8,228.8,246.1,75.2,2.6,0.6,0.3,653.2
1203,WEST UTTAR PRADESH,1977.0,15.9,2.8,0.2,20.0,22.7,78.5,440.6,192.3,176.1,27.8,0.3,17.2,994.3
1204,WEST UTTAR PRADESH,1978.0,6.0,31.7,57.1,8.3,0.7,206.2,279.7,397.0,244.9,3.5,2.7,6.2,1244.2
1205,WEST UTTAR PRADESH,1979.0,45.1,48.6,10.6,2.3,29.9,56.7,240.8,69.7,26.6,1.7,18.6,7.4,558.0
1206,WEST UTTAR PRADESH,1980.0,4.5,4.8,19.3,0.4,2.2,104.7,349.4,364.4,99.3,16.1,1.4,18.1,984.7
1207,WEST UTTAR PRADESH,1981.0,19.0,5.2,13.4,1.3,22.7,102.2,314.5,131.4,101.9,3.1,20.6,4.2,739.6
1208,WEST UTTAR PRADESH,1982.0,30.5,8.3,61.8,23.8,40.5,53.1,231.1,403.4,81.8,8.7,14.4,11.6,969.1
1209,WEST UTTAR PRADESH,1983.0,28.1,5.4,5.5,59.8,33.7,89.7,306.7,385.5,212.6,50.7,0.0,14.0,1191.7
1210,WEST UTTAR PRADESH,1984.0,24.7,27.5,0.6,7.4,0.3,134.5,200.2,268.3,116.6,0.4,0.0,0.7,781.3
1211,WEST UTTAR PRADESH,1985.0,7.5,0.0,1.7,6.9,6.1,44.3,305.5,221.8,204.4,143.8,0.0,15.2,957.2
1212,WEST UTTAR PRADESH,1986.0,14.8,46.5,5.7,3.9,29.8,95.3,202.6,181.0,105.5,15.1,2.1,13.0,715.2
1213,WEST UTTAR PRADESH,1987.0,15.2,13.1,2.7,1.8,39.8,34.6,105.0,124.2,92.4,30.8,0.0,7.3,466.8
